Distritos;Indicadores de renta media y mediana;Periodo;Total
Sant Martí;Renta neta media por persona;2019;15.315
Sant Martí;Renta neta media por persona;2018;14.751
Sant Martí;Renta neta media por persona;2017;14.262
Sant Martí;Renta neta media por persona;2016;13.996
Sant Martí;Renta neta media por persona;2015;13.625
Sant Martí;Renta neta media por hogar;2022;41.317
Sant Martí;Renta neta media por hogar;2021;39.199
Sant Martí;Renta neta media por hogar;2020;37.887
Sant Martí;Renta neta media por hogar;2019;38.010
Sant Martí;Renta neta media por hogar;2018;36.560
Sant Martí;Renta neta media por hogar;2017;35.166
Sant Martí;Renta neta media por hogar;2016;34.716
Sant Martí;Renta neta media por hogar;2015;33.847
Sant Martí;Media de la renta por unidad de consumo;2022;25.006
Sant Martí;Media de la renta por unidad de consumo;2021;23.737
Sant Martí;Media de la renta por unidad de consumo;2020;22.779
Sant Martí;Media de la renta por unidad de consumo;2019;22.800
Sant Martí;Media de la renta por unidad de consumo;2018;21.997
Sant Martí;Media de la renta por unidad de consumo;2017;21.276
Sant Martí;Media de la renta por unidad de consumo;2016;20.816
Sant Martí;Media de la renta por unidad de consumo;2015;20.251
Sant Martí;Mediana de la renta por unidad de consumo;2022;22.050
Sant Martí;Mediana de la renta por unidad de consumo;2021;20.650
Sant Martí;Mediana de la renta por unidad de consumo;2020;19.950
Sant Martí;Mediana de la renta por unidad de consumo;2019;19.950
Sant Martí;Mediana de la renta por unidad de consumo;2018;19.250
Sant Martí;Mediana de la renta por unidad de consumo;2017;18.550
Sant Martí;Mediana de la renta por unidad de consumo;2016;17.850
Sant Martí;Mediana de la renta por unidad de consumo;2015;17.850
Sant Martí;Renta bruta media por persona;2022;21.450
Sant Martí;Renta bruta media por persona;2021;20.146
Sant Martí;Renta bruta media por persona;2020;19.106
Sant Martí;Renta bruta media por persona;2019;19.007
Sant Martí;Renta bruta media por persona;2018;18.253
Sant Martí;Renta bruta media por persona;2017;17.639
Sant Martí;Renta bruta media por persona;2016;17.163
Sant Martí;Renta bruta media por persona;2015;16.638
Sant Martí;Renta bruta media por hogar;2022;52.308
Sant Martí;Renta bruta media por hogar;2021;49.203
Sant Martí;Renta bruta media por hogar;2020;47.074
Sant Martí;Renta bruta media por hogar;2019;47.174
Sant Martí;Renta bruta media por hogar;2018;45.240
Sant Martí;Renta bruta media por hogar;2017;43.492
Sant Martí;Renta bruta media por hogar;2016;42.572
Sant Martí;Renta bruta media por hogar;2015;41.332
